Hash,orion,hera,gaeac6
688de8eb,,1385,705
7e711129,1444,1375,709
d4bac232,1444,1375,709
118cff46,1444,1384,699
071b9f95,1595,1393,703
dc9cfba6,1675,1383,708
a180bbe4,,1402,704
417a2cf1,1424,1394,712
61e54d9b,1488,1393,703
ce74044c,1453,1409,699
d820b67f,1425,1387,703
5e13aaf2,1423,1384,
e39a250c,1424,1378,
8b52797d,1431,1390,702
93d51aef,1469,1382,699
c5b3a3c8,1509,1398,
f9c10462,1508,1482,
0e960577,1453,1490,701
065def80,1458,1394,715
995c51d1,1458,1394,715
1f0ab432,1509,1368,710
8f8fddc8,1743,1366,719
24d8dfd4,1519,1363,717
5750b9e3,1522,1370,713
a9999828,,1407,710
9193010a,1574,1382,709
43f2c3bd,1494,1441,709
f22b2e11,1494,1441,709
aebf9781,1513,1432,721
4cbe50f4,1532,1382,717
269e181a,1532,1382,717
68fd7faa,1532,1381,723
1c5a9f12,1532,1406,723
aba31a4e,1630,1407,720
b81282e5,1630,1407,720
5a297a6e,1728,1395,719
ff162f36,1536,1395,726
9e4778cd,1560,1411,728
4a566203,1635,1404,731
4f0111b2,1529,1416,722
c0d4de3c,1533,1416,717
7cc588ae,1533,1405,716
9b9a6304,1532,1393,711
4e75e7b4,1517,1406,721
69d03840,1532,1394,712
0d1af3e3,1538,1389,712
6ece76a2,1528,1398,717
c5f801e4,1525,1404,720
f7d8b0cd,1522,1408,718
a8c1628d,1528,1398,721
