Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),527,465,164,266,272,232,,289
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),526,369,166,393,272,235,,284
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),526,369,166,393,272,235,,284
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),565,395,167,274,276,239,,286
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),884,381,165,326,273,232,,293
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),911,378,167,344,275,240,,289
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),505,374,187,264,279,234,,293
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),488,380,167,321,275,239,,284
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),528,367,165,262,277,229,,283
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",509,376,164,279,277,233,,296
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),559,382,165,318,273,235,,285
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),498,391,164,333,269,236,,290
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),496,382,171,314,269,233,,283
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",514,393,168,265,282,235,,294
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),502,383,166,269,276,236,,283
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),554,378,164,264,273,235,,290
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),606,486,171,282,266,232,,288
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",501,501,165,264,270,284,,286
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),517,390,169,297,270,233,,286
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),517,390,169,299,270,,,286
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),515,283,170,521,267,,,306
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),779,291,178,362,269,,,313
