Hash,orion,hera,gaeac6
688de8eb,,443,305
7e711129,483,444,304
d4bac232,483,444,304
118cff46,529,446,307
071b9f95,484,459,306
dc9cfba6,1566,570,310
a180bbe4,,449,307
417a2cf1,467,435,308
61e54d9b,532,445,315
ce74044c,556,462,301
d820b67f,502,438,304
5e13aaf2,462,444,
e39a250c,467,442,
8b52797d,468,441,301
93d51aef,522,453,302
c5b3a3c8,529,435,
f9c10462,629,562,
0e960577,512,526,300
065def80,496,438,303
995c51d1,496,438,303
1f0ab432,480,449,311
8f8fddc8,791,442,326
24d8dfd4,545,443,311
5750b9e3,560,445,308
a9999828,,447,311
9193010a,504,451,311
43f2c3bd,480,451,309
f22b2e11,480,451,309
aebf9781,477,491,311
4cbe50f4,554,468,310
269e181a,554,468,310
68fd7faa,770,501,309
1c5a9f12,770,472,309
aba31a4e,977,466,308
b81282e5,977,466,308
5a297a6e,697,467,311
ff162f36,499,448,317
9e4778cd,485,454,311
4a566203,643,452,316
4f0111b2,477,459,308
c0d4de3c,483,464,311
7cc588ae,479,450,310
9b9a6304,481,449,312
4e75e7b4,473,461,310
69d03840,479,451,312
0d1af3e3,480,448,312
6ece76a2,600,456,318
c5f801e4,478,446,314
f7d8b0cd,475,462,320
a8c1628d,488,460,314
