Hash,orion,hera,gaeac6
1c5a9f12,999,346,309
aba31a4e,2603,346,389
b81282e5,2603,346,389
5a297a6e,510,406,317
ff162f36,1271,345,281
9e4778cd,438,347,287
4a566203,386,360,232
4f0111b2,442,344,259
c0d4de3c,729,352,230
7cc588ae,446,344,428
9b9a6304,365,345,208
4e75e7b4,364,345,200
69d03840,377,410,201
0d1af3e3,846,350,201
6ece76a2,386,356,280
c5f801e4,381,350,284
f7d8b0cd,602,349,2353
a8c1628d,498,2044,274
3113a5f4,962,591,260
306e2531,389,557,212
5304e090,371,350,201
9dc31e49,366,1159,199
9c754c7a,372,350,210
6cb9e1d5,363,650,322
ad1c0d2d,856,475,262
89337494,390,346,251
443df8e2,381,349,259
38da98cd,364,600,273
d57779ff,366,351,204
ee3d52d3,366,360,260
a498735b,369,349,394
0682f90c,,1490,264
b9d2bec5,1525,345,264
33cde4b2,1525,345,264
3a5e52ee,436,342,263
c7412fa0,436,348,310
5324d642,554,414,312
76471dc6,668,409,330
241dd8e3,468,421,263
29500891,858,404,261
e1193704,376,406,1039
6ec6b458,376,349,
409bc85b,718,349,
63ace62a,2478,346,
a3c3bb58,437,344,
144ccb03,435,343,
33b3c187,1885,343,
c0367fdf,1032,348,
6b0f5165,1644,1558,
29c2703c,418,342,
