Hash,orion,hera,gaeac6
688de8eb,,143,95
7e711129,159,141,98
d4bac232,159,141,98
118cff46,158,147,102
071b9f95,371,141,102
dc9cfba6,400,143,97
a180bbe4,,145,97
417a2cf1,154,142,100
61e54d9b,155,144,96
ce74044c,164,145,94
d820b67f,156,144,95
5e13aaf2,156,144,
e39a250c,157,151,
8b52797d,157,143,95
93d51aef,165,146,94
c5b3a3c8,156,144,
f9c10462,158,240,
0e960577,157,301,94
065def80,158,158,93
995c51d1,158,158,93
1f0ab432,157,148,94
8f8fddc8,346,146,96
24d8dfd4,164,147,95
5750b9e3,227,145,92
a9999828,,146,94
9193010a,159,149,95
43f2c3bd,157,154,94
f22b2e11,157,154,94
aebf9781,156,147,94
4cbe50f4,231,149,94
269e181a,231,149,94
68fd7faa,244,150,95
1c5a9f12,244,151,95
aba31a4e,159,150,92
b81282e5,159,150,92
5a297a6e,379,163,94
ff162f36,160,153,95
9e4778cd,170,146,95
4a566203,269,158,95
4f0111b2,180,150,93
c0d4de3c,185,169,94
7cc588ae,157,147,94
9b9a6304,158,147,94
4e75e7b4,160,148,93
69d03840,157,151,94
0d1af3e3,171,158,94
6ece76a2,158,178,96
c5f801e4,156,151,94
f7d8b0cd,156,151,94
a8c1628d,167,159,99
