Hash,orion,hera,gaeac6
1c5a9f12,1919,799,894
aba31a4e,1941,802,951
b81282e5,1941,802,951
5a297a6e,1507,982,894
ff162f36,2541,779,822
9e4778cd,1054,789,855
4a566203,1022,898,845
4f0111b2,919,874,769
c0d4de3c,1265,840,796
7cc588ae,840,857,786
9b9a6304,826,793,749
4e75e7b4,883,791,767
69d03840,1306,797,718
0d1af3e3,2772,785,718
6ece76a2,822,794,802
c5f801e4,848,789,792
f7d8b0cd,1082,855,3189
a8c1628d,999,2206,848
3113a5f4,2252,784,775
306e2531,813,812,726
5304e090,887,812,726
9dc31e49,812,1935,722
9c754c7a,821,795,762
6cb9e1d5,821,1037,702
ad1c0d2d,1485,1032,698
89337494,867,765,1369
443df8e2,998,795,710
38da98cd,810,1380,785
d57779ff,815,810,716
ee3d52d3,998,806,725
a498735b,839,857,838
0682f90c,,2546,707
b9d2bec5,2867,799,841
33cde4b2,2867,799,841
3a5e52ee,958,771,720
c7412fa0,1895,774,859
5324d642,879,869,851
76471dc6,933,783,775
241dd8e3,1000,792,710
29500891,1007,792,720
e1193704,931,795,1857
6ec6b458,931,778,
409bc85b,2393,721,
63ace62a,3220,778,
a3c3bb58,1115,695,
144ccb03,815,1277,
33b3c187,2213,779,
c0367fdf,1904,694,
6b0f5165,2671,1966,
29c2703c,817,723,
