Hash,orion,hera,gaeac6
1c5a9f12,1500,702,415
aba31a4e,923,702,508
b81282e5,923,702,508
5a297a6e,745,701,429
ff162f36,769,697,412
9e4778cd,654,702,410
4a566203,742,706,418
4f0111b2,1310,701,385
c0d4de3c,728,703,392
7cc588ae,657,705,413
9b9a6304,715,705,394
4e75e7b4,712,823,385
69d03840,1554,705,386
0d1af3e3,1670,707,386
6ece76a2,773,706,414
c5f801e4,650,703,417
f7d8b0cd,1074,704,2293
a8c1628d,713,2868,394
3113a5f4,885,765,383
306e2531,654,706,390
5304e090,655,703,390
9dc31e49,648,1961,389
9c754c7a,652,2271,391
6cb9e1d5,654,709,384
ad1c0d2d,647,714,381
89337494,670,698,431
443df8e2,645,771,803
38da98cd,656,732,393
d57779ff,651,706,383
ee3d52d3,650,711,386
a498735b,652,701,393
0682f90c,,818,385
b9d2bec5,1971,700,386
33cde4b2,1971,700,386
3a5e52ee,655,697,388
c7412fa0,1556,704,397
5324d642,1011,702,610
76471dc6,1423,697,629
241dd8e3,1151,706,564
29500891,1075,699,563
e1193704,1020,704,1528
6ec6b458,1020,706,
409bc85b,2033,697,
63ace62a,2877,697,
a3c3bb58,1377,696,
144ccb03,1008,698,
33b3c187,1250,701,
c0367fdf,1075,696,
6b0f5165,1314,701,
29c2703c,1006,700,
