Hash,orion,hera,gaeac6
1c5a9f12,1551,582,422
aba31a4e,1214,589,507
b81282e5,1214,589,507
5a297a6e,732,582,442
ff162f36,2203,578,410
9e4778cd,648,575,411
4a566203,688,668,408
4f0111b2,650,581,383
c0d4de3c,1001,603,395
7cc588ae,676,597,405
9b9a6304,644,548,399
4e75e7b4,650,581,385
69d03840,1737,584,386
0d1af3e3,1485,580,386
6ece76a2,765,591,414
c5f801e4,656,588,420
f7d8b0cd,1127,591,2547
a8c1628d,712,1782,394
3113a5f4,1735,761,383
306e2531,654,611,390
5304e090,655,599,390
9dc31e49,649,596,389
9c754c7a,652,947,390
6cb9e1d5,654,838,380
ad1c0d2d,1188,591,381
89337494,670,580,434
443df8e2,827,583,804
38da98cd,655,593,392
d57779ff,652,582,382
ee3d52d3,650,594,388
a498735b,651,593,512
0682f90c,,3286,385
b9d2bec5,1979,580,386
33cde4b2,1979,580,386
3a5e52ee,655,580,387
c7412fa0,1557,588,392
5324d642,1010,830,622
76471dc6,1371,821,569
241dd8e3,1148,836,564
29500891,1075,825,563
e1193704,1016,833,1529
6ec6b458,1016,821,
409bc85b,2335,825,
63ace62a,2821,820,
a3c3bb58,1376,819,
144ccb03,1009,824,
33b3c187,1128,820,
c0367fdf,2934,819,
6b0f5165,,,
29c2703c,,,
