Hash,orion,hera,gaeac6
688de8eb,,510,247
7e711129,417,502,248
d4bac232,417,502,248
118cff46,396,496,249
071b9f95,847,506,256
dc9cfba6,721,503,250
a180bbe4,,491,267
417a2cf1,383,490,247
61e54d9b,440,515,247
ce74044c,395,503,243
d820b67f,385,501,246
5e13aaf2,382,502,
e39a250c,380,512,
8b52797d,454,506,245
93d51aef,384,521,248
c5b3a3c8,453,503,
f9c10462,482,602,
0e960577,382,568,245
065def80,777,506,245
995c51d1,777,506,245
1f0ab432,392,502,245
8f8fddc8,686,495,245
24d8dfd4,447,506,248
5750b9e3,406,496,248
a9999828,,510,247
9193010a,412,503,250
43f2c3bd,399,508,246
f22b2e11,399,508,246
aebf9781,396,503,247
4cbe50f4,453,493,245
269e181a,453,493,245
68fd7faa,400,499,248
1c5a9f12,400,517,248
aba31a4e,503,516,245
b81282e5,503,516,245
5a297a6e,686,535,246
ff162f36,390,519,246
9e4778cd,416,523,245
4a566203,540,534,261
4f0111b2,396,526,247
c0d4de3c,396,528,248
7cc588ae,397,522,248
9b9a6304,392,514,248
4e75e7b4,393,516,247
69d03840,394,513,249
0d1af3e3,389,525,249
6ece76a2,395,520,248
c5f801e4,395,517,247
f7d8b0cd,391,511,256
a8c1628d,393,525,248
