Hash,orion,hera,gaeac6
1c5a9f12,2029,228,219
aba31a4e,475,219,262
b81282e5,475,219,262
5a297a6e,432,230,231
ff162f36,593,219,212
9e4778cd,295,226,231
4a566203,448,407,227
4f0111b2,275,221,266
c0d4de3c,314,585,208
7cc588ae,278,227,238
9b9a6304,407,225,330
4e75e7b4,282,280,199
69d03840,281,232,199
0d1af3e3,410,222,199
6ece76a2,282,224,220
c5f801e4,283,231,232
f7d8b0cd,288,222,1808
a8c1628d,345,1007,208
3113a5f4,702,298,201
306e2531,1841,234,201
5304e090,294,230,200
9dc31e49,281,298,199
9c754c7a,277,521,221
6cb9e1d5,292,240,201
ad1c0d2d,291,226,198
89337494,309,222,215
443df8e2,295,293,1581
38da98cd,285,240,259
d57779ff,284,232,200
ee3d52d3,285,231,641
a498735b,281,224,561
0682f90c,,226,201
b9d2bec5,464,224,201
33cde4b2,464,224,201
3a5e52ee,410,222,320
c7412fa0,277,226,359
5324d642,289,228,317
76471dc6,1545,227,201
241dd8e3,309,222,200
29500891,280,225,201
e1193704,286,304,200
6ec6b458,286,228,
409bc85b,346,223,
63ace62a,527,218,
a3c3bb58,284,220,
144ccb03,959,283,
33b3c187,464,228,
c0367fdf,288,219,
6b0f5165,896,590,
29c2703c,288,221,
