Hash,orion,hera,gaeac6
1c5a9f12,1286,264,200
aba31a4e,166,265,317
b81282e5,166,265,317
5a297a6e,651,268,261
ff162f36,1470,322,203
9e4778cd,390,263,206
4a566203,360,273,202
4f0111b2,335,267,205
c0d4de3c,344,271,202
7cc588ae,266,268,263
9b9a6304,267,282,195
4e75e7b4,265,264,197
69d03840,265,265,196
0d1af3e3,699,263,196
6ece76a2,261,266,205
c5f801e4,272,265,208
f7d8b0cd,324,326,469
a8c1628d,444,1588,199
3113a5f4,1169,386,232
306e2531,326,265,198
5304e090,263,273,201
9dc31e49,261,1071,199
9c754c7a,262,329,200
6cb9e1d5,269,325,195
ad1c0d2d,745,266,195
89337494,284,264,202
443df8e2,263,268,735
38da98cd,269,1118,200
d57779ff,270,265,196
ee3d52d3,267,274,200
a498735b,265,273,318
0682f90c,,387,195
b9d2bec5,1530,263,201
33cde4b2,1530,263,201
3a5e52ee,270,263,197
c7412fa0,382,263,223
5324d642,389,264,228
76471dc6,565,263,197
241dd8e3,339,265,198
29500891,321,262,198
e1193704,323,267,1040
6ec6b458,323,265,
409bc85b,1524,264,
63ace62a,2611,272,
a3c3bb58,381,263,
144ccb03,267,264,
33b3c187,2019,264,
c0367fdf,264,262,
6b0f5165,1832,265,
29c2703c,269,262,
