Hash,orion,hera,gaeac6
688de8eb,,296,114
7e711129,190,174,114
d4bac232,190,174,114
118cff46,279,175,120
071b9f95,367,174,112
dc9cfba6,509,172,113
a180bbe4,,178,115
417a2cf1,184,181,112
61e54d9b,184,176,113
ce74044c,184,177,109
d820b67f,188,176,112
5e13aaf2,186,176,
e39a250c,185,181,
8b52797d,194,176,111
93d51aef,187,173,110
c5b3a3c8,225,184,
f9c10462,237,296,
0e960577,185,351,112
065def80,194,180,111
995c51d1,194,180,111
1f0ab432,194,176,113
8f8fddc8,459,173,114
24d8dfd4,261,175,114
5750b9e3,213,172,112
a9999828,,172,111
9193010a,211,179,113
43f2c3bd,200,186,111
f22b2e11,200,186,111
aebf9781,189,176,111
4cbe50f4,254,176,116
269e181a,254,176,116
68fd7faa,287,178,113
1c5a9f12,287,172,113
aba31a4e,290,183,111
b81282e5,290,183,111
5a297a6e,370,183,111
ff162f36,199,175,114
9e4778cd,197,173,112
4a566203,251,186,115
4f0111b2,201,180,111
c0d4de3c,475,178,113
7cc588ae,190,179,113
9b9a6304,197,172,112
4e75e7b4,192,177,109
69d03840,193,179,113
0d1af3e3,204,178,113
6ece76a2,192,178,112
c5f801e4,190,179,114
f7d8b0cd,199,178,113
a8c1628d,190,178,112
