Hash,orion,hera,gaeac6
1c5a9f12,1404,418,247
aba31a4e,149,412,330
b81282e5,149,412,330
5a297a6e,700,415,272
ff162f36,1738,410,246
9e4778cd,373,420,242
4a566203,399,425,238
4f0111b2,376,415,213
c0d4de3c,667,412,221
7cc588ae,381,417,428
9b9a6304,367,414,221
4e75e7b4,371,541,208
69d03840,370,422,205
0d1af3e3,2595,414,205
6ece76a2,366,418,246
c5f801e4,378,414,237
f7d8b0cd,426,417,2237
a8c1628d,484,2639,274
3113a5f4,1266,480,267
306e2531,386,481,212
5304e090,375,414,213
9dc31e49,419,549,213
9c754c7a,367,1859,214
6cb9e1d5,366,420,203
ad1c0d2d,858,416,1401
89337494,398,415,824
443df8e2,374,441,740
38da98cd,378,437,216
d57779ff,373,424,204
ee3d52d3,371,433,214
a498735b,372,414,335
0682f90c,,592,200
b9d2bec5,1579,414,205
33cde4b2,1579,414,205
3a5e52ee,380,413,206
c7412fa0,487,414,287
5324d642,541,543,335
76471dc6,669,474,331
241dd8e3,465,478,267
29500891,730,486,269
e1193704,383,477,1231
6ec6b458,383,473,
409bc85b,963,473,
63ace62a,2581,473,
a3c3bb58,490,470,
144ccb03,422,472,
33b3c187,3079,473,
c0367fdf,428,470,
6b0f5165,1926,715,
29c2703c,424,472,
