Hash,orion,hera,gaeac6
1c5a9f12,1425,356,257
aba31a4e,27,359,397
b81282e5,27,359,397
5a297a6e,757,360,335
ff162f36,1458,355,259
9e4778cd,378,417,258
4a566203,450,366,287
4f0111b2,388,361,273
c0d4de3c,663,366,219
7cc588ae,559,362,464
9b9a6304,367,360,216
4e75e7b4,370,359,215
69d03840,372,365,210
0d1af3e3,2360,358,210
6ece76a2,367,364,249
c5f801e4,380,358,264
f7d8b0cd,368,360,2152
a8c1628d,501,1682,345
3113a5f4,1088,602,271
306e2531,398,399,224
5304e090,379,361,221
9dc31e49,365,1225,218
9c754c7a,366,359,220
6cb9e1d5,370,359,206
ad1c0d2d,857,361,995
89337494,397,356,664
443df8e2,375,363,263
38da98cd,374,730,220
d57779ff,370,363,208
ee3d52d3,373,361,280
a498735b,372,361,398
0682f90c,,363,207
b9d2bec5,1582,363,270
33cde4b2,1582,363,270
3a5e52ee,374,356,209
c7412fa0,370,356,310
5324d642,493,359,306
76471dc6,610,362,277
241dd8e3,406,364,215
29500891,670,355,209
e1193704,381,474,1288
6ec6b458,381,300,
409bc85b,912,358,
63ace62a,2476,363,
a3c3bb58,431,352,
144ccb03,371,416,
33b3c187,1707,299,
c0367fdf,1035,352,
6b0f5165,1822,1505,
29c2703c,371,298,
