Hash,orion,hera,gaeac6
688de8eb,,170,116
7e711129,299,174,116
d4bac232,299,174,116
118cff46,229,171,121
071b9f95,464,173,130
dc9cfba6,393,166,122
a180bbe4,,164,127
417a2cf1,185,167,113
61e54d9b,242,170,114
ce74044c,186,178,111
d820b67f,190,169,111
5e13aaf2,248,170,
e39a250c,187,176,
8b52797d,206,168,112
93d51aef,187,176,114
c5b3a3c8,224,178,
f9c10462,255,250,
0e960577,220,281,113
065def80,329,168,111
995c51d1,329,168,111
1f0ab432,197,177,112
8f8fddc8,423,167,113
24d8dfd4,222,171,113
5750b9e3,205,169,114
a9999828,,168,122
9193010a,213,182,114
43f2c3bd,197,172,113
f22b2e11,197,172,113
aebf9781,198,177,113
4cbe50f4,237,168,114
269e181a,237,168,114
68fd7faa,204,232,118
1c5a9f12,204,174,118
aba31a4e,280,171,115
b81282e5,280,171,115
5a297a6e,384,176,114
ff162f36,204,177,112
9e4778cd,206,174,114
4a566203,208,182,115
4f0111b2,199,170,114
c0d4de3c,200,176,115
7cc588ae,198,170,117
9b9a6304,195,167,117
4e75e7b4,198,168,112
69d03840,197,176,113
0d1af3e3,194,168,113
6ece76a2,197,197,123
c5f801e4,195,175,115
f7d8b0cd,197,171,113
a8c1628d,198,177,115
