Hash,orion,hera,gaeac6
1c5a9f12,1127,459,364
aba31a4e,2217,465,499
b81282e5,2217,465,499
5a297a6e,889,465,371
ff162f36,1326,458,335
9e4778cd,465,461,330
4a566203,473,475,348
4f0111b2,470,461,318
c0d4de3c,914,466,331
7cc588ae,527,468,457
9b9a6304,471,463,326
4e75e7b4,459,399,317
69d03840,458,527,320
0d1af3e3,1001,459,320
6ece76a2,459,469,332
c5f801e4,473,461,348
f7d8b0cd,653,462,2344
a8c1628d,527,1802,333
3113a5f4,1076,768,324
306e2531,468,475,320
5304e090,464,406,325
9dc31e49,462,1264,321
9c754c7a,472,463,326
6cb9e1d5,456,710,320
ad1c0d2d,946,528,320
89337494,470,403,354
443df8e2,466,471,319
38da98cd,462,721,331
d57779ff,461,475,323
ee3d52d3,466,473,322
a498735b,463,463,452
0682f90c,,1606,321
b9d2bec5,1554,401,324
33cde4b2,1554,401,324
3a5e52ee,462,460,321
c7412fa0,463,461,365
5324d642,579,524,422
76471dc6,820,524,388
241dd8e3,599,540,380
29500891,825,521,381
e1193704,584,640,1040
6ec6b458,584,523,
409bc85b,878,523,
63ace62a,2636,524,
a3c3bb58,588,520,
144ccb03,821,577,
33b3c187,1568,529,
c0367fdf,1124,521,
6b0f5165,1790,1735,
29c2703c,580,521,
