Hash,orion,hera,gaeac6
688de8eb,,378,162
7e711129,292,265,162
d4bac232,292,265,162
118cff46,288,256,159
071b9f95,391,259,161
dc9cfba6,465,250,157
a180bbe4,,257,168
417a2cf1,285,250,164
61e54d9b,291,254,155
ce74044c,318,251,155
d820b67f,284,257,154
5e13aaf2,304,256,
e39a250c,286,256,
8b52797d,299,253,156
93d51aef,288,258,154
c5b3a3c8,287,254,
f9c10462,289,350,
0e960577,284,419,158
065def80,299,258,156
995c51d1,299,258,156
1f0ab432,296,258,157
8f8fddc8,490,251,156
24d8dfd4,324,264,156
5750b9e3,315,246,160
a9999828,,262,158
9193010a,312,255,155
43f2c3bd,319,252,155
f22b2e11,319,252,155
aebf9781,295,253,158
4cbe50f4,382,251,155
269e181a,382,251,155
68fd7faa,330,253,156
1c5a9f12,330,253,156
aba31a4e,373,267,157
b81282e5,373,267,157
5a297a6e,498,256,155
ff162f36,291,255,158
9e4778cd,322,253,157
4a566203,334,270,155
4f0111b2,304,257,163
c0d4de3c,537,264,157
7cc588ae,291,254,154
9b9a6304,292,253,158
4e75e7b4,295,257,157
69d03840,292,251,157
0d1af3e3,290,250,157
6ece76a2,293,257,157
c5f801e4,290,253,156
f7d8b0cd,293,253,156
a8c1628d,293,261,155
