Hash,orion,hera,gaeac6
688de8eb,194,180,114
7e711129,225,175,115
d4bac232,225,175,115
118cff46,260,180,121
071b9f95,428,172,114
dc9cfba6,624,174,116
a180bbe4,,179,114
417a2cf1,195,171,115
61e54d9b,187,178,114
ce74044c,223,178,112
d820b67f,187,183,111
5e13aaf2,183,175,
e39a250c,184,178,
8b52797d,252,177,115
93d51aef,188,176,112
c5b3a3c8,254,176,
f9c10462,,,
0e960577,,,
065def80,,,
995c51d1,,,
1f0ab432,,,
8f8fddc8,,,
24d8dfd4,,,
5750b9e3,,,
a9999828,,,
9193010a,,,
43f2c3bd,,,
f22b2e11,,,
aebf9781,,,
4cbe50f4,,,
269e181a,,,
68fd7faa,,,
1c5a9f12,,,
aba31a4e,,,
b81282e5,,,
5a297a6e,,,
ff162f36,,,
9e4778cd,,,
4a566203,,,
4f0111b2,,,
c0d4de3c,,,
7cc588ae,,,
9b9a6304,,,
4e75e7b4,,,
69d03840,,,
0d1af3e3,,,
6ece76a2,,,
c5f801e4,,,
f7d8b0cd,,,
a8c1628d,,,
