Hash,orion,hera,gaeac6
1c5a9f12,2320,442,257
aba31a4e,565,381,254
b81282e5,565,381,254
5a297a6e,690,383,267
ff162f36,574,441,268
9e4778cd,330,384,262
4a566203,461,446,261
4f0111b2,327,381,254
c0d4de3c,389,380,261
7cc588ae,323,444,266
9b9a6304,323,383,262
4e75e7b4,382,576,254
69d03840,325,385,255
0d1af3e3,381,381,255
6ece76a2,321,445,269
c5f801e4,326,381,265
f7d8b0cd,384,382,3484
a8c1628d,324,2668,256
3113a5f4,812,506,256
306e2531,2080,520,255
5304e090,323,445,256
9dc31e49,327,569,255
9c754c7a,322,1888,258
6cb9e1d5,322,387,255
ad1c0d2d,324,444,254
89337494,325,382,259
443df8e2,323,444,1936
38da98cd,324,385,255
d57779ff,321,442,255
ee3d52d3,322,388,256
a498735b,321,441,255
0682f90c,,562,255
b9d2bec5,865,441,257
33cde4b2,865,441,257
3a5e52ee,624,380,435
c7412fa0,1707,384,263
5324d642,320,447,341
76471dc6,328,382,254
241dd8e3,386,382,253
29500891,387,387,254
e1193704,391,384,254
6ec6b458,391,382,
409bc85b,327,381,
63ace62a,1169,379,
a3c3bb58,327,380,
144ccb03,320,380,
33b3c187,1772,380,
c0367fdf,2910,441,
6b0f5165,563,443,
29c2703c,324,380,
