Hash,orion,hera,gaeac6
1c5a9f12,2245,235,242
aba31a4e,506,234,202
b81282e5,506,234,202
5a297a6e,760,233,233
ff162f36,519,292,166
9e4778cd,349,233,159
4a566203,338,245,165
4f0111b2,337,239,202
c0d4de3c,346,249,232
7cc588ae,300,240,246
9b9a6304,257,303,152
4e75e7b4,281,233,143
69d03840,356,247,205
0d1af3e3,864,229,205
6ece76a2,281,255,244
c5f801e4,268,239,248
f7d8b0cd,327,234,106
a8c1628d,325,548,141
3113a5f4,810,239,143
306e2531,278,235,264
5304e090,270,241,144
9dc31e49,281,846,143
9c754c7a,272,248,143
6cb9e1d5,265,356,141
ad1c0d2d,265,239,1165
89337494,289,284,157
443df8e2,269,238,2124
38da98cd,257,308,202
d57779ff,262,236,141
ee3d52d3,262,238,143
a498735b,271,240,263
0682f90c,,230,204
b9d2bec5,805,235,202
33cde4b2,805,235,202
3a5e52ee,318,229,144
c7412fa0,268,228,251
5324d642,383,248,255
76471dc6,318,241,323
241dd8e3,372,292,202
29500891,819,240,201
e1193704,346,304,441
6ec6b458,346,238,
409bc85b,457,234,
63ace62a,1423,232,
a3c3bb58,341,230,
144ccb03,393,352,
33b3c187,1944,238,
c0367fdf,328,228,
6b0f5165,2970,656,
29c2703c,319,231,
