Hash,orion,hera,gaeac6
1c5a9f12,2639,146,147
aba31a4e,220,148,135
b81282e5,220,148,135
5a297a6e,297,210,143
ff162f36,1190,151,147
9e4778cd,217,148,142
4a566203,178,213,147
4f0111b2,171,150,139
c0d4de3c,394,155,140
7cc588ae,217,211,210
9b9a6304,291,152,199
4e75e7b4,154,204,135
69d03840,217,272,135
0d1af3e3,338,206,135
6ece76a2,157,217,143
c5f801e4,156,209,151
f7d8b0cd,279,271,1910
a8c1628d,279,639,135
3113a5f4,217,328,135
306e2531,184,332,195
5304e090,158,153,136
9dc31e49,173,1054,135
9c754c7a,157,150,136
6cb9e1d5,155,518,135
ad1c0d2d,156,212,134
89337494,223,145,141
443df8e2,217,156,134
38da98cd,157,214,195
d57779ff,181,152,134
ee3d52d3,175,155,135
a498735b,165,219,136
0682f90c,,1411,196
b9d2bec5,881,146,137
33cde4b2,881,146,137
3a5e52ee,160,206,135
c7412fa0,228,147,171
5324d642,169,150,159
76471dc6,399,150,134
241dd8e3,181,168,135
29500891,289,144,134
e1193704,173,266,675
6ec6b458,173,152,
409bc85b,223,148,
63ace62a,768,146,
a3c3bb58,157,146,
144ccb03,159,206,
33b3c187,1512,206,
c0367fdf,820,148,
6b0f5165,1434,1357,
29c2703c,155,143,
