Hash,orion,hera,gaeac6
688de8eb,,698,449
7e711129,783,698,454
d4bac232,783,698,454
118cff46,775,691,472
071b9f95,1151,701,459
dc9cfba6,1414,682,470
a180bbe4,,684,471
417a2cf1,772,689,453
61e54d9b,773,687,454
ce74044c,780,686,448
d820b67f,802,686,449
5e13aaf2,769,697,
e39a250c,776,697,
8b52797d,771,688,468
93d51aef,768,694,447
c5b3a3c8,768,686,
f9c10462,803,762,
0e960577,769,821,454
065def80,1545,688,453
995c51d1,1545,688,453
1f0ab432,778,695,450
8f8fddc8,1438,687,450
24d8dfd4,790,684,449
5750b9e3,788,682,450
a9999828,,678,449
9193010a,774,684,448
43f2c3bd,760,687,455
f22b2e11,760,687,455
aebf9781,764,693,442
4cbe50f4,902,684,445
269e181a,902,684,445
68fd7faa,775,745,449
1c5a9f12,775,682,449
aba31a4e,1010,702,443
b81282e5,1010,702,443
5a297a6e,1419,707,449
ff162f36,766,702,450
9e4778cd,763,687,443
4a566203,946,708,450
4f0111b2,775,690,444
c0d4de3c,767,687,451
7cc588ae,771,676,447
9b9a6304,770,674,452
4e75e7b4,764,686,446
69d03840,769,680,446
0d1af3e3,769,674,446
6ece76a2,764,728,447
c5f801e4,763,704,450
f7d8b0cd,766,688,449
a8c1628d,769,686,451
