Hash,orion,hera,gaeac6
1c5a9f12,831,226,145
aba31a4e,1196,218,137
b81282e5,1196,218,137
5a297a6e,8,224,150
ff162f36,354,224,202
9e4778cd,180,225,155
4a566203,282,234,142
4f0111b2,291,220,139
c0d4de3c,162,237,142
7cc588ae,166,297,443
9b9a6304,281,222,158
4e75e7b4,282,285,137
69d03840,224,464,137
0d1af3e3,283,229,137
6ece76a2,280,229,142
c5f801e4,231,294,154
f7d8b0cd,162,226,503
a8c1628d,171,411,140
3113a5f4,1127,1371,141
306e2531,169,222,139
5304e090,169,228,138
9dc31e49,164,223,136
9c754c7a,161,224,143
6cb9e1d5,164,236,139
ad1c0d2d,278,226,917
89337494,161,228,142
443df8e2,161,244,139
38da98cd,169,227,199
d57779ff,225,229,140
ee3d52d3,223,229,141
a498735b,234,231,378
0682f90c,,228,140
b9d2bec5,1074,286,139
33cde4b2,1074,286,139
3a5e52ee,174,225,139
c7412fa0,530,221,215
5324d642,534,227,173
76471dc6,234,226,199
241dd8e3,216,236,140
29500891,222,224,138
e1193704,165,524,136
6ec6b458,165,463,
409bc85b,466,467,
63ace62a,1433,466,
a3c3bb58,224,461,
144ccb03,224,461,
33b3c187,2393,2209,
c0367fdf,227,460,
6b0f5165,3471,468,
29c2703c,235,460,
