Hash,orion,hera,gaeac6
1c5a9f12,474,354,222
aba31a4e,459,409,207
b81282e5,459,409,207
5a297a6e,1351,353,244
ff162f36,1447,349,285
9e4778cd,298,358,224
4a566203,373,355,226
4f0111b2,296,354,204
c0d4de3c,305,359,228
7cc588ae,295,367,228
9b9a6304,291,364,232
4e75e7b4,292,351,204
69d03840,350,355,207
0d1af3e3,351,357,207
6ece76a2,649,352,240
c5f801e4,293,369,230
f7d8b0cd,287,351,2364
a8c1628d,303,360,209
3113a5f4,531,1139,209
306e2531,293,358,209
5304e090,295,361,210
9dc31e49,293,414,207
9c754c7a,291,1259,218
6cb9e1d5,294,384,203
ad1c0d2d,293,357,202
89337494,294,363,217
443df8e2,291,383,326
38da98cd,293,377,208
d57779ff,294,371,206
ee3d52d3,288,353,208
a498735b,299,355,204
0682f90c,,535,206
b9d2bec5,292,355,209
33cde4b2,292,355,209
3a5e52ee,295,352,269
c7412fa0,358,352,246
5324d642,533,357,253
76471dc6,295,353,214
241dd8e3,288,355,206
29500891,410,354,208
e1193704,299,364,205
6ec6b458,299,363,
409bc85b,595,353,
63ace62a,293,349,
a3c3bb58,292,350,
144ccb03,2171,349,
33b3c187,299,354,
c0367fdf,356,351,
6b0f5165,866,426,
29c2703c,294,351,
