Hash,orion,hera,gaeac6
1c5a9f12,1743,527,648
aba31a4e,959,584,621
b81282e5,959,584,621
5a297a6e,1945,524,650
ff162f36,2107,587,650
9e4778cd,956,528,637
4a566203,1161,592,636
4f0111b2,961,528,622
c0d4de3c,956,530,642
7cc588ae,949,531,641
9b9a6304,1081,532,692
4e75e7b4,952,595,624
69d03840,952,529,623
0d1af3e3,950,536,623
6ece76a2,951,529,633
c5f801e4,1082,527,630
f7d8b0cd,945,527,1934
a8c1628d,963,651,624
3113a5f4,1488,1255,626
306e2531,955,590,626
5304e090,954,533,624
9dc31e49,951,531,626
9c754c7a,949,1427,630
6cb9e1d5,950,535,619
ad1c0d2d,950,588,618
89337494,952,529,641
443df8e2,951,598,621
38da98cd,946,541,681
d57779ff,952,530,623
ee3d52d3,952,532,628
a498735b,1070,527,743
0682f90c,,705,623
b9d2bec5,958,527,628
33cde4b2,958,527,628
3a5e52ee,940,586,686
c7412fa0,1015,526,727
5324d642,1254,531,677
76471dc6,957,524,635
241dd8e3,1011,544,620
29500891,1009,528,625
e1193704,1014,533,683
6ec6b458,1014,535,
409bc85b,1376,533,
63ace62a,1183,525,
a3c3bb58,1010,524,
144ccb03,2454,522,
33b3c187,1372,531,
c0367fdf,944,524,
6b0f5165,1218,663,
29c2703c,948,532,
