Hash,orion,hera,gaeac6
1c5a9f12,1789,578,635
aba31a4e,1460,517,621
b81282e5,1460,517,621
5a297a6e,2179,522,642
ff162f36,,587,647
9e4778cd,951,519,635
4a566203,1123,521,633
4f0111b2,952,519,619
c0d4de3c,947,525,631
7cc588ae,947,523,643
9b9a6304,1070,522,629
4e75e7b4,1005,581,621
69d03840,943,585,622
0d1af3e3,945,580,622
6ece76a2,1125,520,647
c5f801e4,1129,521,634
f7d8b0cd,937,521,1982
a8c1628d,1014,587,621
3113a5f4,1374,1246,626
306e2531,947,517,623
5304e090,1006,528,625
9dc31e49,1482,530,636
9c754c7a,947,1366,623
6cb9e1d5,952,652,624
ad1c0d2d,942,580,617
89337494,947,582,627
443df8e2,949,587,621
38da98cd,943,588,618
d57779ff,1013,584,621
ee3d52d3,943,525,624
a498735b,948,523,802
0682f90c,,639,680
b9d2bec5,1317,521,625
33cde4b2,1317,521,625
3a5e52ee,945,519,621
c7412fa0,946,516,665
5324d642,1431,586,663
76471dc6,944,519,631
241dd8e3,948,582,680
29500891,938,577,621
e1193704,944,520,682
6ec6b458,944,523,
409bc85b,1484,522,
63ace62a,1669,516,
a3c3bb58,939,517,
144ccb03,2507,520,
33b3c187,2644,519,
c0367fdf,1059,518,
6b0f5165,3189,590,
29c2703c,954,518,
