Hash,orion,hera,gaeac6
1c5a9f12,927,402,472
aba31a4e,1011,395,439
b81282e5,1011,395,439
5a297a6e,808,396,483
ff162f36,812,517,658
9e4778cd,709,397,465
4a566203,699,402,473
4f0111b2,685,405,440
c0d4de3c,712,406,467
7cc588ae,689,404,462
9b9a6304,739,398,472
4e75e7b4,683,458,440
69d03840,690,580,443
0d1af3e3,747,463,443
6ece76a2,989,401,469
c5f801e4,868,420,477
f7d8b0cd,742,407,211
a8c1628d,755,463,444
3113a5f4,745,1241,443
306e2531,683,400,443
5304e090,689,400,444
9dc31e49,682,585,443
9c754c7a,684,879,452
6cb9e1d5,691,407,440
ad1c0d2d,689,401,438
89337494,691,414,448
443df8e2,683,412,440
38da98cd,685,405,444
d57779ff,689,405,443
ee3d52d3,740,404,444
a498735b,684,399,620
0682f90c,,516,440
b9d2bec5,695,395,445
33cde4b2,695,395,445
3a5e52ee,689,394,503
c7412fa0,808,396,520
5324d642,682,401,496
76471dc6,689,397,439
241dd8e3,687,399,438
29500891,688,395,442
e1193704,813,399,504
6ec6b458,813,402,
409bc85b,867,399,
63ace62a,683,395,
a3c3bb58,687,398,
144ccb03,2671,395,
33b3c187,748,515,
c0367fdf,751,393,
6b0f5165,1725,397,
29c2703c,680,395,
