Hash,orion,hera,gaeac6
688de8eb,,151,201
7e711129,293,153,200
d4bac232,293,153,200
118cff46,304,156,202
071b9f95,343,154,203
dc9cfba6,339,153,205
a180bbe4,,153,205
417a2cf1,286,151,202
61e54d9b,300,157,201
ce74044c,294,152,200
d820b67f,290,150,198
5e13aaf2,291,152,
e39a250c,296,154,
8b52797d,284,159,203
93d51aef,295,330,201
c5b3a3c8,295,152,
f9c10462,303,248,
0e960577,294,202,204
065def80,376,157,201
995c51d1,376,157,201
1f0ab432,298,160,200
8f8fddc8,343,159,198
24d8dfd4,303,156,200
5750b9e3,294,168,199
a9999828,,155,200
9193010a,316,161,202
43f2c3bd,303,158,197
f22b2e11,303,158,197
aebf9781,299,155,202
4cbe50f4,297,154,198
269e181a,297,154,198
68fd7faa,322,160,214
1c5a9f12,322,157,214
aba31a4e,300,161,202
b81282e5,300,161,202
5a297a6e,333,161,204
ff162f36,305,163,206
9e4778cd,290,158,202
4a566203,296,169,202
4f0111b2,296,163,200
c0d4de3c,295,162,206
7cc588ae,298,167,201
9b9a6304,303,158,206
4e75e7b4,320,160,196
69d03840,298,157,196
0d1af3e3,297,167,196
6ece76a2,299,161,205
c5f801e4,298,160,200
f7d8b0cd,291,164,203
a8c1628d,291,165,201
