Hash,orion,hera,gaeac6
1c5a9f12,976,519,288
aba31a4e,644,459,260
b81282e5,644,459,260
5a297a6e,754,514,290
ff162f36,804,461,284
9e4778cd,443,462,283
4a566203,546,764,270
4f0111b2,2067,457,258
c0d4de3c,515,520,285
7cc588ae,435,518,298
9b9a6304,502,461,2098
4e75e7b4,426,512,266
69d03840,441,459,264
0d1af3e3,739,517,264
6ece76a2,664,460,290
c5f801e4,509,522,297
f7d8b0cd,802,458,153
a8c1628d,446,1187,268
3113a5f4,663,585,265
306e2531,427,521,263
5304e090,420,460,261
9dc31e49,440,578,264
9c754c7a,420,572,279
6cb9e1d5,424,467,265
ad1c0d2d,783,459,260
89337494,453,467,580
443df8e2,440,523,2301
38da98cd,431,479,263
d57779ff,440,531,265
ee3d52d3,443,460,265
a498735b,433,456,1104
0682f90c,,516,262
b9d2bec5,1931,513,265
33cde4b2,1931,513,265
3a5e52ee,672,455,265
c7412fa0,434,461,303
5324d642,479,466,452
76471dc6,440,458,380
241dd8e3,478,462,259
29500891,786,458,263
e1193704,426,469,439
6ec6b458,426,469,
409bc85b,499,460,
63ace62a,962,465,
a3c3bb58,434,454,
144ccb03,547,513,
33b3c187,3491,457,
c0367fdf,428,456,
6b0f5165,909,640,
29c2703c,416,453,
