Hash,orion,hera,gaeac6
688de8eb,,394,175
7e711129,300,398,176
d4bac232,300,398,176
118cff46,298,396,175
071b9f95,683,394,174
dc9cfba6,548,394,174
a180bbe4,,394,177
417a2cf1,298,394,175
61e54d9b,302,407,174
ce74044c,296,396,173
d820b67f,299,399,173
5e13aaf2,296,396,
e39a250c,298,397,
8b52797d,295,397,173
93d51aef,297,443,173
c5b3a3c8,301,393,
f9c10462,300,504,
0e960577,330,452,174
065def80,447,400,174
995c51d1,447,400,174
1f0ab432,300,395,173
8f8fddc8,486,398,173
24d8dfd4,298,400,174
5750b9e3,359,408,173
a9999828,,397,173
9193010a,308,918,174
43f2c3bd,299,398,175
f22b2e11,299,398,175
aebf9781,306,398,174
4cbe50f4,358,393,175
269e181a,358,393,175
68fd7faa,354,398,175
1c5a9f12,354,521,175
aba31a4e,412,518,173
b81282e5,412,518,173
5a297a6e,394,525,173
ff162f36,299,516,174
9e4778cd,301,525,175
4a566203,468,529,175
4f0111b2,311,522,174
c0d4de3c,348,526,174
7cc588ae,299,525,174
9b9a6304,299,517,176
4e75e7b4,301,517,175
69d03840,304,519,174
0d1af3e3,301,521,174
6ece76a2,297,520,178
c5f801e4,299,533,175
f7d8b0cd,299,514,175
a8c1628d,300,529,174
