Hash,orion,hera,gaeac6
1c5a9f12,383,262,324
aba31a4e,454,321,314
b81282e5,454,321,314
5a297a6e,1382,264,336
ff162f36,633,260,331
9e4778cd,389,266,267
4a566203,447,264,323
4f0111b2,393,262,314
c0d4de3c,382,266,265
7cc588ae,385,273,321
9b9a6304,385,264,324
4e75e7b4,385,281,314
69d03840,444,264,315
0d1af3e3,444,321,315
6ece76a2,385,264,316
c5f801e4,383,278,317
f7d8b0cd,380,264,1669
a8c1628d,387,264,315
3113a5f4,922,1045,315
306e2531,385,265,255
5304e090,387,265,315
9dc31e49,383,330,315
9c754c7a,389,1166,318
6cb9e1d5,386,326,254
ad1c0d2d,383,263,1154
89337494,387,263,317
443df8e2,382,267,315
38da98cd,384,269,315
d57779ff,388,264,314
ee3d52d3,384,264,316
a498735b,382,264,555
0682f90c,,503,315
b9d2bec5,383,263,318
33cde4b2,383,263,318
3a5e52ee,383,261,376
c7412fa0,507,264,323
5324d642,623,263,338
76471dc6,382,261,316
241dd8e3,386,262,315
29500891,444,262,315
e1193704,385,263,314
6ec6b458,385,269,
409bc85b,747,263,
63ace62a,442,261,
a3c3bb58,380,261,
144ccb03,1946,260,
33b3c187,389,322,
c0367fdf,387,261,
6b0f5165,896,331,
29c2703c,383,261,
