Hash,orion,hera,gaeac6
1c5a9f12,976,517,271
aba31a4e,637,453,261
b81282e5,637,453,261
5a297a6e,829,516,285
ff162f36,659,450,277
9e4778cd,432,458,284
4a566203,541,707,271
4f0111b2,425,449,258
c0d4de3c,509,637,282
7cc588ae,417,518,377
9b9a6304,481,455,2074
4e75e7b4,426,602,265
69d03840,437,514,260
0d1af3e3,686,460,260
6ece76a2,663,453,288
c5f801e4,577,457,296
f7d8b0cd,1096,452,208
a8c1628d,423,1357,266
3113a5f4,663,581,260
306e2531,427,514,258
5304e090,421,460,261
9dc31e49,419,517,263
9c754c7a,420,509,279
6cb9e1d5,418,582,265
ad1c0d2d,783,456,258
89337494,449,454,1178
443df8e2,434,466,2062
38da98cd,415,465,258
d57779ff,427,528,265
ee3d52d3,433,462,263
a498735b,424,452,802
0682f90c,,573,263
b9d2bec5,1930,512,259
33cde4b2,1930,512,259
3a5e52ee,663,451,259
c7412fa0,414,453,307
5324d642,479,456,452
76471dc6,436,451,379
241dd8e3,472,459,260
29500891,784,451,258
e1193704,423,455,439
6ec6b458,423,459,
409bc85b,479,450,
63ace62a,921,449,
a3c3bb58,414,449,
144ccb03,546,513,
33b3c187,3435,450,
c0367fdf,419,449,
6b0f5165,905,873,
29c2703c,416,450,
