Hash,orion,hera,gaeac6
1c5a9f12,668,450,274
aba31a4e,694,516,258
b81282e5,694,516,258
5a297a6e,1244,454,297
ff162f36,642,452,451
9e4778cd,404,451,291
4a566203,477,457,269
4f0111b2,429,448,260
c0d4de3c,445,451,288
7cc588ae,386,455,271
9b9a6304,374,460,338
4e75e7b4,382,448,258
69d03840,398,511,258
0d1af3e3,423,458,258
6ece76a2,728,452,267
c5f801e4,400,453,278
f7d8b0cd,362,449,2660
a8c1628d,392,465,259
3113a5f4,664,1234,259
306e2531,365,451,260
5304e090,367,456,259
9dc31e49,398,577,258
9c754c7a,394,1415,263
6cb9e1d5,363,458,258
ad1c0d2d,393,451,257
89337494,385,447,261
443df8e2,379,455,258
38da98cd,401,459,258
d57779ff,376,453,257
ee3d52d3,364,456,260
a498735b,387,449,319
0682f90c,,695,259
b9d2bec5,397,449,260
33cde4b2,397,449,260
3a5e52ee,382,450,319
c7412fa0,398,448,285
5324d642,579,453,308
76471dc6,407,450,258
241dd8e3,382,450,257
29500891,435,447,257
e1193704,422,448,257
6ec6b458,422,453,
409bc85b,687,450,
63ace62a,363,447,
a3c3bb58,421,448,
144ccb03,2316,450,
33b3c187,366,508,
c0367fdf,433,447,
6b0f5165,1005,514,
29c2703c,400,447,
