Hash,orion,hera,gaeac6
688de8eb,,157,74
7e711129,130,155,73
d4bac232,130,155,73
118cff46,130,155,78
071b9f95,143,153,72
dc9cfba6,251,156,77
a180bbe4,,155,71
417a2cf1,124,153,71
61e54d9b,129,158,72
ce74044c,128,155,70
d820b67f,125,157,70
5e13aaf2,155,154,
e39a250c,127,156,
8b52797d,124,161,70
93d51aef,125,159,70
c5b3a3c8,127,156,
f9c10462,124,232,
0e960577,124,259,71
065def80,182,157,70
995c51d1,182,157,70
1f0ab432,126,157,70
8f8fddc8,320,156,70
24d8dfd4,126,164,71
5750b9e3,134,158,71
a9999828,,158,71
9193010a,126,163,71
43f2c3bd,126,158,73
f22b2e11,126,158,73
aebf9781,128,162,70
4cbe50f4,288,158,71
269e181a,288,158,71
68fd7faa,127,160,71
1c5a9f12,127,164,71
aba31a4e,126,163,73
b81282e5,126,163,73
5a297a6e,178,168,71
ff162f36,126,178,70
9e4778cd,129,163,72
4a566203,126,170,72
4f0111b2,125,164,71
c0d4de3c,126,167,71
7cc588ae,127,167,71
9b9a6304,126,162,71
4e75e7b4,125,161,71
69d03840,126,168,70
0d1af3e3,125,165,70
6ece76a2,126,164,72
c5f801e4,125,161,71
f7d8b0cd,126,162,72
a8c1628d,129,162,72
