Hash,orion,hera,gaeac6
688de8eb,,212,138
7e711129,227,215,141
d4bac232,227,215,141
118cff46,235,211,135
071b9f95,380,208,136
dc9cfba6,396,210,141
a180bbe4,,212,147
417a2cf1,261,209,147
61e54d9b,304,208,135
ce74044c,262,210,133
d820b67f,226,210,134
5e13aaf2,239,210,
e39a250c,224,211,
8b52797d,288,214,134
93d51aef,222,208,133
c5b3a3c8,288,214,
f9c10462,224,314,
0e960577,222,332,133
065def80,234,220,133
995c51d1,234,220,133
1f0ab432,231,210,134
8f8fddc8,363,207,133
24d8dfd4,269,207,134
5750b9e3,284,213,135
a9999828,,204,131
9193010a,252,209,133
43f2c3bd,248,208,131
f22b2e11,248,208,131
aebf9781,231,209,132
4cbe50f4,351,209,134
269e181a,351,209,134
68fd7faa,334,214,134
1c5a9f12,334,214,134
aba31a4e,284,209,133
b81282e5,284,209,133
5a297a6e,514,213,131
ff162f36,234,217,132
9e4778cd,234,212,137
4a566203,256,227,133
4f0111b2,263,211,134
c0d4de3c,427,215,133
7cc588ae,231,209,131
9b9a6304,231,206,132
4e75e7b4,231,213,133
69d03840,235,209,134
0d1af3e3,223,206,134
6ece76a2,226,216,134
c5f801e4,226,210,135
f7d8b0cd,227,216,132
a8c1628d,231,213,131
