Hash,orion,hera,gaeac6
1c5a9f12,1718,1236,458
aba31a4e,1172,1176,442
b81282e5,1172,1176,442
5a297a6e,1284,1180,462
ff162f36,1231,1178,467
9e4778cd,817,1175,446
4a566203,985,1185,473
4f0111b2,2361,1178,438
c0d4de3c,2520,1618,465
7cc588ae,797,1184,478
9b9a6304,740,1180,2325
4e75e7b4,786,1237,441
69d03840,744,1180,439
0d1af3e3,1172,1181,439
6ece76a2,1163,1184,483
c5f801e4,921,1178,473
f7d8b0cd,1403,1186,517
a8c1628d,926,2383,440
3113a5f4,1076,1304,440
306e2531,759,1179,438
5304e090,800,1179,440
9dc31e49,741,1298,439
9c754c7a,739,2080,444
6cb9e1d5,745,1248,446
ad1c0d2d,1162,1177,439
89337494,748,1200,477
443df8e2,2795,1191,439
38da98cd,737,1199,439
d57779ff,737,1182,441
ee3d52d3,735,1185,439
a498735b,741,1177,443
0682f90c,,1240,443
b9d2bec5,2312,1238,440
33cde4b2,2312,1238,440
3a5e52ee,980,1175,442
c7412fa0,745,1178,468
5324d642,1287,1205,508
76471dc6,739,1174,568
241dd8e3,736,1189,439
29500891,1086,1117,438
e1193704,659,757,619
6ec6b458,659,762,
409bc85b,660,754,
63ace62a,1227,755,
a3c3bb58,725,755,
144ccb03,668,759,
33b3c187,2052,756,
c0367fdf,784,755,
6b0f5165,1281,1003,
29c2703c,658,754,
