Hash,orion,hera,gaeac6
1c5a9f12,1040,1053,391
aba31a4e,1028,1055,378
b81282e5,1028,1055,378
5a297a6e,1537,1051,413
ff162f36,922,1066,636
9e4778cd,690,1062,392
4a566203,754,1063,397
4f0111b2,667,1051,378
c0d4de3c,701,1055,402
7cc588ae,677,1058,407
9b9a6304,792,1051,383
4e75e7b4,675,1110,378
69d03840,745,1175,378
0d1af3e3,859,1176,378
6ece76a2,1029,1057,403
c5f801e4,737,1050,393
f7d8b0cd,655,1050,2959
a8c1628d,675,1114,381
3113a5f4,953,1839,379
306e2531,658,1055,379
5304e090,674,1056,380
9dc31e49,675,1240,378
9c754c7a,672,1954,385
6cb9e1d5,679,1065,379
ad1c0d2d,676,1055,377
89337494,684,1058,383
443df8e2,669,1060,439
38da98cd,679,1063,378
d57779ff,681,1063,378
ee3d52d3,671,1065,379
a498735b,678,1053,439
0682f90c,,1174,379
b9d2bec5,684,1055,439
33cde4b2,684,1055,439
3a5e52ee,670,1052,499
c7412fa0,739,1052,457
5324d642,855,1068,485
76471dc6,676,1053,438
241dd8e3,656,1057,377
29500891,796,1052,378
e1193704,677,635,379
6ec6b458,677,696,
409bc85b,789,637,
63ace62a,591,633,
a3c3bb58,609,633,
144ccb03,616,690,
33b3c187,592,754,
c0367fdf,595,688,
6b0f5165,2438,698,
29c2703c,591,633,
