Hash,orion,hera,gaeac6
1c5a9f12,388,263,322
aba31a4e,505,322,315
b81282e5,505,322,315
5a297a6e,1438,264,336
ff162f36,630,264,389
9e4778cd,384,266,323
4a566203,455,264,318
4f0111b2,392,267,315
c0d4de3c,384,265,323
7cc588ae,385,266,331
9b9a6304,380,264,318
4e75e7b4,382,264,314
69d03840,384,264,315
0d1af3e3,443,269,315
6ece76a2,500,263,320
c5f801e4,385,267,317
f7d8b0cd,380,264,1967
a8c1628d,388,324,315
3113a5f4,923,1048,316
306e2531,383,264,316
5304e090,381,265,316
9dc31e49,380,326,315
9c754c7a,387,1166,317
6cb9e1d5,385,328,315
ad1c0d2d,384,264,314
89337494,386,261,317
443df8e2,384,267,315
38da98cd,385,268,315
d57779ff,380,267,316
ee3d52d3,379,265,315
a498735b,380,263,375
0682f90c,,443,316
b9d2bec5,383,263,316
33cde4b2,383,263,316
3a5e52ee,382,261,377
c7412fa0,506,263,325
5324d642,685,265,339
76471dc6,382,262,314
241dd8e3,383,262,314
29500891,441,262,315
e1193704,445,261,315
6ec6b458,445,269,
409bc85b,687,264,
63ace62a,383,260,
a3c3bb58,380,262,
144ccb03,2066,262,
33b3c187,449,322,
c0367fdf,443,261,
6b0f5165,955,327,
29c2703c,382,262,
