Hash,orion,hera,gaeac6
688de8eb,,302,136
7e711129,241,308,136
d4bac232,241,308,136
118cff46,427,582,241
071b9f95,486,567,238
dc9cfba6,862,579,241
a180bbe4,,570,243
417a2cf1,427,580,242
61e54d9b,431,591,241
ce74044c,432,578,240
d820b67f,429,580,238
5e13aaf2,428,572,
e39a250c,433,590,
8b52797d,431,586,241
93d51aef,455,391,239
c5b3a3c8,434,575,
f9c10462,428,644,
0e960577,427,609,238
065def80,956,574,242
995c51d1,956,574,242
1f0ab432,431,589,243
8f8fddc8,1120,579,241
24d8dfd4,430,582,237
5750b9e3,435,578,240
a9999828,,578,242
9193010a,440,582,241
43f2c3bd,431,582,238
f22b2e11,431,582,238
aebf9781,437,582,239
4cbe50f4,590,578,240
269e181a,590,578,240
68fd7faa,436,584,241
1c5a9f12,436,592,241
aba31a4e,671,600,245
b81282e5,671,600,245
5a297a6e,838,596,240
ff162f36,433,625,240
9e4778cd,434,596,243
4a566203,520,607,240
4f0111b2,432,610,240
c0d4de3c,433,598,238
7cc588ae,431,605,240
9b9a6304,431,597,240
4e75e7b4,432,595,238
69d03840,434,603,243
0d1af3e3,432,601,243
6ece76a2,433,590,239
c5f801e4,430,606,242
f7d8b0cd,432,597,240
a8c1628d,433,599,243
