Hash,orion,hera,gaeac6
688de8eb,,356,163
7e711129,287,360,163
d4bac232,287,360,163
118cff46,526,684,300
071b9f95,1111,677,302
dc9cfba6,915,681,296
a180bbe4,,676,305
417a2cf1,521,677,305
61e54d9b,519,682,297
ce74044c,537,689,297
d820b67f,520,682,295
5e13aaf2,521,687,
e39a250c,521,690,
8b52797d,528,689,295
93d51aef,520,701,298
c5b3a3c8,532,684,
f9c10462,527,819,
0e960577,547,738,298
065def80,730,681,294
995c51d1,730,681,294
1f0ab432,528,682,299
8f8fddc8,930,680,298
24d8dfd4,531,687,298
5750b9e3,661,686,297
a9999828,,693,296
9193010a,533,687,301
43f2c3bd,522,688,298
f22b2e11,522,688,298
aebf9781,527,689,297
4cbe50f4,643,686,298
269e181a,643,686,298
68fd7faa,525,698,294
1c5a9f12,525,700,294
aba31a4e,694,707,298
b81282e5,694,707,298
5a297a6e,1097,707,299
ff162f36,529,712,299
9e4778cd,530,707,297
4a566203,724,715,296
4f0111b2,599,710,303
c0d4de3c,684,722,298
7cc588ae,530,713,303
9b9a6304,523,706,299
4e75e7b4,525,721,297
69d03840,523,710,297
0d1af3e3,526,703,297
6ece76a2,522,706,294
c5f801e4,528,710,297
f7d8b0cd,524,703,299
a8c1628d,526,703,297
