Hash,orion,hera,gaeac6
688de8eb,,151,203
7e711129,317,153,202
d4bac232,317,153,202
118cff46,295,152,204
071b9f95,336,151,201
dc9cfba6,370,153,200
a180bbe4,,156,201
417a2cf1,283,151,209
61e54d9b,291,156,202
ce74044c,292,150,197
d820b67f,292,152,201
5e13aaf2,302,150,
e39a250c,293,152,
8b52797d,287,158,200
93d51aef,314,390,205
c5b3a3c8,289,150,
f9c10462,297,252,
0e960577,294,220,195
065def80,429,155,199
995c51d1,429,155,199
1f0ab432,300,156,201
8f8fddc8,383,158,200
24d8dfd4,292,156,203
5750b9e3,298,164,196
a9999828,,155,196
9193010a,310,167,200
43f2c3bd,290,157,197
f22b2e11,290,157,197
aebf9781,304,156,198
4cbe50f4,326,154,199
269e181a,326,154,199
68fd7faa,296,156,199
1c5a9f12,296,164,199
aba31a4e,328,157,201
b81282e5,328,157,201
5a297a6e,355,160,198
ff162f36,294,158,201
9e4778cd,296,158,201
4a566203,305,162,199
4f0111b2,292,168,203
c0d4de3c,298,164,204
7cc588ae,291,158,200
9b9a6304,297,160,205
4e75e7b4,298,162,200
69d03840,302,161,198
0d1af3e3,290,161,198
6ece76a2,292,162,204
c5f801e4,295,160,201
f7d8b0cd,300,161,202
a8c1628d,303,167,200
