Hash,orion,hera,gaeac6
688de8eb,,289,198
7e711129,307,283,195
d4bac232,307,283,195
118cff46,295,288,200
071b9f95,299,287,197
dc9cfba6,382,284,198
a180bbe4,,281,199
417a2cf1,281,287,219
61e54d9b,282,300,194
ce74044c,287,293,195
d820b67f,289,290,196
5e13aaf2,288,288,
e39a250c,287,292,
8b52797d,284,298,195
93d51aef,289,394,196
c5b3a3c8,289,297,
f9c10462,322,446,
0e960577,287,401,197
065def80,334,291,199
995c51d1,334,291,199
1f0ab432,285,302,195
8f8fddc8,378,290,194
24d8dfd4,287,303,196
5750b9e3,287,304,196
a9999828,,302,196
9193010a,303,300,194
43f2c3bd,287,302,193
f22b2e11,287,302,193
aebf9781,301,304,194
4cbe50f4,298,309,191
269e181a,298,309,191
68fd7faa,292,346,196
1c5a9f12,292,300,196
aba31a4e,351,309,198
b81282e5,351,309,198
5a297a6e,355,308,198
ff162f36,286,296,195
9e4778cd,296,295,198
4a566203,336,305,199
4f0111b2,295,312,196
c0d4de3c,297,308,202
7cc588ae,283,304,196
9b9a6304,294,300,202
4e75e7b4,286,308,196
69d03840,290,310,194
0d1af3e3,292,302,194
6ece76a2,288,304,199
c5f801e4,288,304,212
f7d8b0cd,291,310,200
a8c1628d,298,302,195
