Hash,orion,hera,gaeac6
1c5a9f12,929,382,449
aba31a4e,626,382,436
b81282e5,626,382,436
5a297a6e,700,380,453
ff162f36,804,560,450
9e4778cd,568,382,446
4a566203,625,449,449
4f0111b2,626,381,435
c0d4de3c,627,560,443
7cc588ae,565,383,448
9b9a6304,621,383,441
4e75e7b4,625,383,434
69d03840,622,383,435
0d1af3e3,621,382,435
6ece76a2,866,383,440
c5f801e4,804,382,440
f7d8b0cd,683,441,305
a8c1628d,624,749,435
3113a5f4,687,384,436
306e2531,561,385,435
5304e090,568,387,436
9dc31e49,560,442,436
9c754c7a,620,627,438
6cb9e1d5,562,447,435
ad1c0d2d,623,385,434
89337494,564,382,439
443df8e2,563,385,435
38da98cd,560,392,435
d57779ff,565,385,435
ee3d52d3,561,384,736
a498735b,567,383,615
0682f90c,,383,436
b9d2bec5,625,388,437
33cde4b2,625,388,437
3a5e52ee,563,321,497
c7412fa0,684,382,514
5324d642,564,384,521
76471dc6,561,383,434
241dd8e3,562,381,434
29500891,630,383,435
e1193704,686,386,434
6ec6b458,686,383,
409bc85b,623,322,
63ace62a,623,379,
a3c3bb58,561,381,
144ccb03,2852,381,
33b3c187,744,381,
c0367fdf,622,381,
6b0f5165,1838,625,
29c2703c,561,380,
