Hash,orion,hera,gaeac6
1c5a9f12,745,264,328
aba31a4e,477,262,314
b81282e5,477,262,314
5a297a6e,479,267,334
ff162f36,681,440,323
9e4778cd,392,263,325
4a566203,460,323,329
4f0111b2,383,260,317
c0d4de3c,444,440,317
7cc588ae,381,265,326
9b9a6304,441,264,328
4e75e7b4,382,320,315
69d03840,446,565,315
0d1af3e3,444,261,315
6ece76a2,682,262,325
c5f801e4,685,324,323
f7d8b0cd,560,321,365
a8c1628d,384,625,316
3113a5f4,624,264,315
306e2531,383,262,316
5304e090,383,266,317
9dc31e49,379,262,316
9c754c7a,381,745,318
6cb9e1d5,382,329,315
ad1c0d2d,380,263,314
89337494,386,262,318
443df8e2,382,269,316
38da98cd,382,269,316
d57779ff,381,264,315
ee3d52d3,383,266,616
a498735b,384,263,736
0682f90c,,263,316
b9d2bec5,505,266,316
33cde4b2,505,266,316
3a5e52ee,382,262,376
c7412fa0,500,262,464
5324d642,383,264,347
76471dc6,382,262,317
241dd8e3,387,264,314
29500891,386,260,317
e1193704,686,260,315
6ec6b458,686,329,
409bc85b,383,263,
63ace62a,384,260,
a3c3bb58,385,260,
144ccb03,1407,320,
33b3c187,624,263,
c0367fdf,441,321,
6b0f5165,273,504,
29c2703c,383,260,
