Hash,orion,hera,gaeac6
1c5a9f12,1219,819,406
aba31a4e,1045,824,380
b81282e5,1045,824,380
5a297a6e,1213,820,413
ff162f36,1150,821,401
9e4778cd,686,826,410
4a566203,859,824,398
4f0111b2,2310,820,381
c0d4de3c,2514,873,408
7cc588ae,667,824,1101
9b9a6304,678,821,2266
4e75e7b4,666,873,381
69d03840,678,829,382
0d1af3e3,1025,835,382
6ece76a2,840,820,403
c5f801e4,663,832,417
f7d8b0cd,1023,818,326
a8c1628d,685,1784,385
3113a5f4,903,885,384
306e2531,684,883,382
5304e090,668,819,380
9dc31e49,673,943,383
9c754c7a,663,1421,392
6cb9e1d5,687,890,385
ad1c0d2d,971,820,380
89337494,683,822,729
443df8e2,2669,827,2361
38da98cd,666,822,385
d57779ff,664,830,386
ee3d52d3,662,822,383
a498735b,678,816,383
0682f90c,,885,383
b9d2bec5,2189,878,384
33cde4b2,2189,878,384
3a5e52ee,914,815,382
c7412fa0,684,823,412
5324d642,719,830,450
76471dc6,740,821,500
241dd8e3,684,821,379
29500891,978,816,382
e1193704,665,815,678
6ec6b458,665,822,
409bc85b,665,819,
63ace62a,1268,815,
a3c3bb58,741,815,
144ccb03,667,817,
33b3c187,1775,816,
c0367fdf,738,817,
6b0f5165,1176,1059,
29c2703c,659,814,
