Hash,orion,hera,gaeac6
1c5a9f12,744,443,328
aba31a4e,391,446,316
b81282e5,391,446,316
5a297a6e,476,443,333
ff162f36,683,382,390
9e4778cd,383,451,321
4a566203,445,446,326
4f0111b2,441,445,315
c0d4de3c,445,444,317
7cc588ae,380,443,390
9b9a6304,383,447,322
4e75e7b4,443,458,315
69d03840,440,445,315
0d1af3e3,380,443,315
6ece76a2,682,389,320
c5f801e4,688,447,320
f7d8b0cd,567,444,365
a8c1628d,386,1288,316
3113a5f4,563,567,317
306e2531,380,505,315
5304e090,382,448,317
9dc31e49,380,505,316
9c754c7a,383,747,317
6cb9e1d5,382,507,316
ad1c0d2d,381,386,314
89337494,385,383,322
443df8e2,384,445,375
38da98cd,444,447,315
d57779ff,382,446,315
ee3d52d3,381,452,616
a498735b,441,446,495
0682f90c,,624,316
b9d2bec5,444,443,318
33cde4b2,444,443,318
3a5e52ee,383,442,376
c7412fa0,562,383,395
5324d642,382,1104,347
76471dc6,389,388,315
241dd8e3,441,443,314
29500891,384,382,315
e1193704,627,383,315
6ec6b458,627,386,
409bc85b,382,383,
63ace62a,443,381,
a3c3bb58,382,381,
144ccb03,2791,1881,
33b3c187,569,442,
c0367fdf,441,501,
6b0f5165,1721,629,
29c2703c,485,440,
