Hash,orion,hera,gaeac6
1c5a9f12,1219,879,390
aba31a4e,1021,816,379
b81282e5,1021,816,379
5a297a6e,1259,819,404
ff162f36,1144,813,394
9e4778cd,666,820,408
4a566203,900,823,398
4f0111b2,2248,812,379
c0d4de3c,2514,819,390
7cc588ae,655,825,470
9b9a6304,654,813,2257
4e75e7b4,666,869,381
69d03840,658,819,379
0d1af3e3,1024,879,379
6ece76a2,840,818,400
c5f801e4,663,831,410
f7d8b0cd,1023,811,329
a8c1628d,731,1661,385
3113a5f4,896,944,384
306e2531,768,820,379
5304e090,661,817,379
9dc31e49,656,936,381
9c754c7a,658,879,390
6cb9e1d5,662,883,386
ad1c0d2d,971,812,378
89337494,676,812,883
443df8e2,681,822,2360
38da98cd,660,817,384
d57779ff,653,881,386
ee3d52d3,655,815,379
a498735b,667,814,383
0682f90c,,871,383
b9d2bec5,2071,874,441
33cde4b2,2071,874,441
3a5e52ee,899,811,380
c7412fa0,677,817,414
5324d642,719,820,450
76471dc6,716,814,499
241dd8e3,662,817,379
29500891,1055,812,378
e1193704,664,873,620
6ec6b458,664,812,
409bc85b,661,815,
63ace62a,1196,811,
a3c3bb58,730,810,
144ccb03,667,815,
33b3c187,572,811,
c0367fdf,724,812,
6b0f5165,1168,1005,
29c2703c,659,811,
