Hash,orion,hera,gaeac6
1c5a9f12,1592,390,325
aba31a4e,569,447,316
b81282e5,569,447,316
5a297a6e,511,445,333
ff162f36,443,441,329
9e4778cd,389,444,323
4a566203,386,448,320
4f0111b2,382,442,318
c0d4de3c,447,504,329
7cc588ae,385,445,324
9b9a6304,501,386,323
4e75e7b4,445,445,314
69d03840,383,446,315
0d1af3e3,445,446,315
6ece76a2,742,446,332
c5f801e4,744,449,320
f7d8b0cd,444,391,3301
a8c1628d,386,3578,316
3113a5f4,446,447,316
306e2531,1704,447,315
5304e090,383,447,316
9dc31e49,386,451,315
9c754c7a,385,447,317
6cb9e1d5,387,445,317
ad1c0d2d,382,447,314
89337494,387,382,316
443df8e2,384,387,376
38da98cd,386,874,314
d57779ff,384,502,316
ee3d52d3,382,387,616
a498735b,381,445,736
0682f90c,,2369,316
b9d2bec5,441,444,318
33cde4b2,441,444,318
3a5e52ee,440,443,314
c7412fa0,386,383,464
5324d642,383,382,339
76471dc6,388,383,315
241dd8e3,388,441,314
29500891,382,383,315
e1193704,624,385,314
6ec6b458,624,443,
409bc85b,384,387,
63ace62a,381,381,
a3c3bb58,380,381,
144ccb03,1590,501,
33b3c187,568,382,
c0367fdf,386,442,
6b0f5165,2144,564,
29c2703c,385,382,
