Hash,orion,hera,gaeac6
1c5a9f12,1318,464,335
aba31a4e,1926,460,325
b81282e5,1926,460,325
5a297a6e,1237,458,370
ff162f36,1065,459,344
9e4778cd,518,457,334
4a566203,758,464,333
4f0111b2,522,456,320
c0d4de3c,763,527,330
7cc588ae,529,464,349
9b9a6304,519,463,333
4e75e7b4,519,462,322
69d03840,594,463,320
0d1af3e3,1124,455,320
6ece76a2,525,457,352
c5f801e4,521,458,349
f7d8b0cd,514,458,1327
a8c1628d,523,939,321
3113a5f4,878,577,321
306e2531,527,519,324
5304e090,517,470,321
9dc31e49,517,1196,322
9c754c7a,527,462,324
6cb9e1d5,517,640,318
ad1c0d2d,516,458,318
89337494,523,458,329
443df8e2,526,464,322
38da98cd,520,522,320
d57779ff,520,458,319
ee3d52d3,519,456,323
a498735b,524,465,331
0682f90c,,1480,319
b9d2bec5,1423,461,320
33cde4b2,1423,461,320
3a5e52ee,517,455,322
c7412fa0,522,458,359
5324d642,760,459,367
76471dc6,514,458,318
241dd8e3,597,455,318
29500891,765,455,320
e1193704,534,455,739
6ec6b458,534,462,
409bc85b,643,462,
63ace62a,2631,459,
a3c3bb58,519,456,
144ccb03,760,457,
33b3c187,1074,456,
c0367fdf,578,454,
6b0f5165,701,1600,
29c2703c,524,454,
