Hash,orion,hera,gaeac6
1c5a9f12,1494,342,209
aba31a4e,1562,275,261
b81282e5,1562,275,261
5a297a6e,596,280,263
ff162f36,405,275,208
9e4778cd,347,398,202
4a566203,443,338,203
4f0111b2,336,340,200
c0d4de3c,347,337,203
7cc588ae,334,341,284
9b9a6304,338,340,280
4e75e7b4,338,340,198
69d03840,337,399,199
0d1af3e3,522,277,199
6ece76a2,332,342,230
c5f801e4,640,280,221
f7d8b0cd,333,275,3137
a8c1628d,339,2625,199
3113a5f4,1003,277,201
306e2531,407,282,201
5304e090,336,284,200
9dc31e49,338,640,200
9c754c7a,339,343,202
6cb9e1d5,332,343,197
ad1c0d2d,341,277,196
89337494,342,274,383
443df8e2,329,282,316
38da98cd,332,343,197
d57779ff,332,338,199
ee3d52d3,341,281,200
a498735b,337,336,199
0682f90c,,284,200
b9d2bec5,637,276,260
33cde4b2,637,276,260
3a5e52ee,633,271,197
c7412fa0,402,276,231
5324d642,343,342,236
76471dc6,334,275,256
241dd8e3,347,278,198
29500891,339,288,199
e1193704,337,336,379
6ec6b458,337,341,
409bc85b,343,280,
63ace62a,761,275,
a3c3bb58,340,274,
144ccb03,882,335,
33b3c187,112,276,
c0367fdf,340,273,
6b0f5165,456,996,
29c2703c,335,272,
