Hash,orion,hera,gaeac6
688de8eb,,250,166
7e711129,306,253,165
d4bac232,306,253,165
118cff46,312,252,166
071b9f95,803,246,163
dc9cfba6,443,249,164
a180bbe4,,250,182
417a2cf1,301,247,168
61e54d9b,300,246,164
ce74044c,306,250,163
d820b67f,326,255,164
5e13aaf2,302,252,
e39a250c,301,249,
8b52797d,304,250,1136
93d51aef,300,253,162
c5b3a3c8,303,264,
f9c10462,307,381,
0e960577,310,359,165
065def80,301,252,163
995c51d1,301,252,163
1f0ab432,306,246,165
8f8fddc8,528,245,168
24d8dfd4,312,253,166
5750b9e3,401,246,167
a9999828,,248,167
9193010a,309,250,167
43f2c3bd,308,258,167
f22b2e11,308,258,167
aebf9781,327,252,166
4cbe50f4,388,253,165
269e181a,388,253,165
68fd7faa,309,258,167
1c5a9f12,309,248,167
aba31a4e,438,255,166
b81282e5,438,255,166
5a297a6e,605,264,173
ff162f36,310,255,168
9e4778cd,311,257,169
4a566203,411,272,168
4f0111b2,371,263,168
c0d4de3c,335,273,168
7cc588ae,309,252,168
9b9a6304,309,252,169
4e75e7b4,307,256,169
69d03840,306,251,169
0d1af3e3,321,250,169
6ece76a2,309,269,170
c5f801e4,307,257,168
f7d8b0cd,309,253,172
a8c1628d,306,253,167
