Hash,orion,hera,gaeac6
688de8eb,,235,157
7e711129,293,239,157
d4bac232,293,239,157
118cff46,643,239,157
071b9f95,321,239,157
dc9cfba6,562,233,155
a180bbe4,,237,156
417a2cf1,282,234,156
61e54d9b,286,237,155
ce74044c,290,239,154
d820b67f,288,240,153
5e13aaf2,287,237,
e39a250c,288,239,
8b52797d,291,237,156
93d51aef,307,338,155
c5b3a3c8,287,237,
f9c10462,287,356,
0e960577,285,368,156
065def80,594,242,155
995c51d1,594,242,155
1f0ab432,291,231,159
8f8fddc8,666,233,158
24d8dfd4,289,236,157
5750b9e3,303,238,157
a9999828,,237,158
9193010a,300,242,158
43f2c3bd,291,243,158
f22b2e11,291,243,158
aebf9781,292,251,158
4cbe50f4,389,237,158
269e181a,389,237,158
68fd7faa,294,262,156
1c5a9f12,294,240,156
aba31a4e,410,246,157
b81282e5,410,246,157
5a297a6e,351,248,158
ff162f36,295,239,160
9e4778cd,300,241,159
4a566203,401,264,159
4f0111b2,295,240,160
c0d4de3c,293,244,161
7cc588ae,292,239,161
9b9a6304,293,246,159
4e75e7b4,293,242,158
69d03840,294,241,159
0d1af3e3,291,236,159
6ece76a2,294,246,158
c5f801e4,292,261,159
f7d8b0cd,295,241,159
a8c1628d,297,240,159
