Hash,orion,hera,gaeac6
688de8eb,,655,281
7e711129,500,663,279
d4bac232,500,663,279
118cff46,496,653,283
071b9f95,1019,652,279
dc9cfba6,885,658,282
a180bbe4,,649,296
417a2cf1,497,660,280
61e54d9b,503,677,283
ce74044c,499,660,280
d820b67f,501,661,280
5e13aaf2,497,661,
e39a250c,497,670,
8b52797d,500,665,277
93d51aef,497,663,283
c5b3a3c8,499,657,
f9c10462,521,764,
0e960577,503,720,280
065def80,900,658,279
995c51d1,900,658,279
1f0ab432,502,660,279
8f8fddc8,1063,666,279
24d8dfd4,501,660,286
5750b9e3,551,660,279
a9999828,,663,279
9193010a,507,658,280
43f2c3bd,498,667,281
f22b2e11,498,667,281
aebf9781,505,665,282
4cbe50f4,594,657,283
269e181a,594,657,283
68fd7faa,503,662,280
1c5a9f12,503,676,280
aba31a4e,703,678,281
b81282e5,703,678,281
5a297a6e,903,688,280
ff162f36,499,684,279
9e4778cd,502,680,282
4a566203,698,690,280
4f0111b2,518,678,291
c0d4de3c,568,688,279
7cc588ae,501,681,280
9b9a6304,500,679,287
4e75e7b4,499,678,280
69d03840,502,682,284
0d1af3e3,505,699,284
6ece76a2,499,681,281
c5f801e4,499,684,285
f7d8b0cd,501,678,286
a8c1628d,502,695,279
